id;color;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
2418;white;7.6;0.2;0.26;4.5;0.086;37;133;0.9963;3.15;0.42;9.2;5
2419;white;7.6;0.2;0.26;4.8;0.033;26;76;0.99076;2.98;0.49;12.3;7
2420;white;7.1;0.21;0.72;1.6;0.167;65;120;0.99324;2.97;0.51;9.2;5
2421;white;6.4;0.29;0.28;11.1;0.063;66;169;0.9973;2.89;0.57;9;5
2422;red;5.9;0.19;0.21;1.7;0.045;57;135;0.99341;3.32;0.44;9.5;5
2423;white;6;0.19;0.26;1.4;0.039;30;104;0.98998;3.32;0.41;12.4;6
2424;white;5.8;0.17;0.34;1.8;0.045;96;170;0.99035;3.38;0.9;11.8;8
2425;red;8.1;0.78;0.23;2.6;0.059;5;15;0.997;3.37;0.56;11.3;5
2426;red;7.6;0.41;0.24;1.8;0.08;4;11;0.9962;3.28;0.59;9.5;5
2427;white;8;0.55;0.42;12.6;0.211;37;213;0.9988;2.99;0.56;9.3;5
2428;white;7.3;0.25;0.39;6.4;0.034;8;84;0.9942;3.18;0.46;11.5;5
2429;white;6.1;0.27;0.3;16.7;0.039;49;172;0.99985;3.4;0.45;9.4;5
2430;white;6.7;0.27;0.33;3.6;0.034;9;45;0.99144;3.08;0.4;10.5;6
2431;white;7.2;0.31;0.35;7.2;0.046;45;178;0.9955;3.14;0.53;9.7;5
2432;red;10.2;0.23;0.37;2.2;0.057;14;36;0.99614;3.23;0.49;9.3;4
2433;white;7.5;0.21;0.32;4.8;0.056;39;113;0.99393;3.11;0.52;10.2;7
2434;red;7.7;0.96;0.2;2;0.047;15;60;0.9955;3.36;0.44;10.9;5
2435;white;6.6;0.24;0.24;8.6;0.034;25;135;0.99582;3.33;0.59;10.3;6
2436;red;10.2;0.33;0.46;1.9;0.081;6;9;0.99628;3.1;0.48;10.4;6
2437;white;6.4;0.25;0.74;7.8;0.045;52;209;0.9956;3.21;0.42;9.2;6
2438;white;6.9;0.25;0.35;9.2;0.034;42;150;0.9947;3.21;0.36;11.5;6
2439;white;6.2;0.17;0.3;1.1;0.037;14;79;0.993;3.5;0.54;10.3;6
2440;red;8.6;0.645;0.25;2;0.083;8;28;0.99815;3.28;0.6;10;6
2441;red;8.1;0.56;0.28;1.7;0.368;16;56;0.9968;3.11;1.28;9.3;5
2442;white;7;0.13;0.37;12.85;0.042;36;105;0.99581;3.05;0.55;10.7;6
2443;white;7.4;0.21;0.3;7.9;0.039;14;118;0.9942;2.96;0.34;10.4;5
2444;white;5.6;0.18;0.58;1.25;0.034;29;129;0.98984;3.51;0.6;12;7
2445;white;7.6;0.27;0.52;3.2;0.043;28;152;0.99129;3.02;0.53;11.4;6
2446;white;7.1;0.25;0.28;1.2;0.04;31;111;0.99174;3.18;0.53;11.1;5
2447;red;10.5;0.26;0.47;1.9;0.078;6;24;0.9976;3.18;1.04;10.9;7
2448;red;11.6;0.41;0.58;2.8;0.096;25;101;1.00024;3.13;0.53;10;5
2449;white;6.9;0.32;0.16;1.4;0.051;15;96;0.994;3.22;0.38;9.5;4
2450;red;7.5;0.64;0;2.4;0.077;18;29;0.9965;3.32;0.6;10;6
2451;white;5.3;0.4;0.25;3.9;0.031;45;130;0.99072;3.31;0.58;11.75;7
2452;white;8.2;0.37;0.64;13.9;0.043;22;171;0.99873;2.99;0.8;9.3;5
2453;white;7;0.22;0.33;2.1;0.052;15;76;0.993;3.2;0.41;10.6;6
2454;white;7.8;0.25;0.37;1;0.043;10;80;0.99128;3.08;0.38;11.4;5
2455;white;7.6;0.38;0.2;3.4;0.046;9;116;0.9944;3.15;0.41;9.4;5
2456;red;9;0.66;0.17;3;0.077;5;13;0.9976;3.29;0.55;10.4;5
2457;white;7.2;0.29;0.53;18.15;0.047;59;182;0.9992;3.09;0.52;9.6;5
2458;white;6.8;0.27;0.3;13;0.047;69;160;0.99705;3.16;0.5;9.6;6
2459;white;6;0.34;0.66;15.9;0.046;26;164;0.9979;3.14;0.5;8.8;6
2460;white;8.2;0.24;0.3;2.3;0.05;23;106;0.99397;2.98;0.5;10;5
2461;white;7.4;0.44;0.2;11.5;0.049;44;157;0.998;3.27;0.44;9;5
2462;white;6;0.4;0.3;1.6;0.047;30;117;0.9931;3.17;0.48;10.1;6
2463;white;6.3;0.27;0.25;5.8;0.038;52;155;0.995;3.28;0.38;9.4;6
2464;white;6.8;0.21;0.27;18.15;0.042;41;146;1.0001;3.3;0.36;8.7;5
2465;white;6;0.28;0.24;17.8;0.047;42;111;0.99896;3.1;0.45;8.9;6
2466;white;6.9;0.27;0.49;23.5;0.057;59;235;1.0024;2.98;0.47;8.6;5
2467;white;6.3;0.27;0.23;2.9;0.047;13;100;0.9936;3.28;0.43;9.8;5
2468;white;7.5;0.28;0.33;7.7;0.048;42;180;0.9974;3.37;0.59;10.1;6
2469;red;7.1;0.755;0.15;1.8;0.107;20;84;0.99593;3.19;0.5;9.5;5
2470;red;8.3;0.655;0.12;2.3;0.083;15;113;0.9966;3.17;0.66;9.8;5
2471;white;5.6;0.26;0.27;10.6;0.03;27;119;0.9947;3.4;0.34;10.7;7
2472;white;9.2;0.22;0.4;2.4;0.054;18;151;0.9952;3.04;0.46;9.3;4
2473;red;9.9;0.5;0.5;13.8;0.205;48;82;1.00242;3.16;0.75;8.8;5
2474;white;6.4;0.125;0.36;1.4;0.044;22;68;0.99014;3.15;0.5;11.7;7
2475;white;8.4;0.31;0.31;0.95;0.021;52;148;0.99038;2.93;0.32;11.5;5
2476;white;6.7;0.15;0.32;7.9;0.034;17;81;0.99512;3.29;0.31;10;6
2477;white;6.6;0.41;0.27;10.7;0.11;20;103;0.99672;3.08;0.41;9;6
2478;white;7.4;0.32;0.27;1.4;0.049;38;173;0.99335;3.03;0.52;9.3;5
2479;white;7.3;0.26;0.33;17.85;0.049;41.5;195;1;3.06;0.44;9.1;7
2480;white;6.1;0.46;0.32;6.2;0.053;10;94;0.99537;3.35;0.47;10.1;5
2481;white;7.1;0.19;0.28;3.6;0.033;16;78;0.993;2.91;0.78;11.4;6
2482;white;6.4;0.25;0.74;7.8;0.045;52;209;0.9956;3.21;0.42;9.2;6
2483;white;5.8;0.31;0.33;1.2;0.036;23;99;0.9916;3.18;0.6;10.5;6
2484;white;6.8;0.17;0.36;1.4;0.036;38;108;0.99006;3.19;0.66;12;6
2485;white;7.9;0.33;0.26;1.2;0.044;23;103;0.9932;3.19;0.54;10.5;6
2486;white;6.1;0.33;0.32;7.8;0.052;52;183;0.99657;3.39;0.65;9.5;5
2487;white;6.3;0.34;0.52;6.3;0.047;63;186;0.99481;3.18;0.44;9.6;5
2488;white;7;0.29;0.49;3.8;0.047;37;136;0.9938;2.95;0.4;9.4;6
2489;white;7;0.29;0.33;0.9;0.041;20;117;0.99048;3.21;0.5;11.4;5
2490;white;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;6
2491;white;6.4;0.29;0.24;3.2;0.037;31;95;0.98942;2.9;0.66;12.6;7
2492;white;8.3;0.23;0.43;3.2;0.035;14;101;0.9928;3.15;0.36;11.5;5
2493;white;5.7;0.26;0.24;17.8;0.059;23;124;0.99773;3.3;0.5;10.1;5
2494;white;6.9;0.25;0.33;1.2;0.035;35;158;0.99082;3.02;0.58;11.3;6
2495;white;8.6;0.37;0.7;12.15;0.039;21;158;0.9983;3;0.73;9.3;6
2496;white;7.3;0.32;0.25;7.2;0.056;47;180;0.9961;3.08;0.47;8.8;5
2497;red;13.3;0.29;0.75;2.8;0.084;23;43;0.9986;3.04;0.68;11.4;7
2498;white;7;0.23;0.36;13;0.051;72;177;0.9972;3.16;0.49;9.8;5
2499;white;7.1;0.36;0.24;1.8;0.025;32;102;0.9903;3.34;0.59;12.8;6
2500;white;6.9;0.17;0.3;2;0.047;13;117;0.99152;3.16;0.51;11.6;6
2501;white;7.7;0.39;0.49;7.7;0.036;11;110;0.9966;3.33;0.76;10;6
2502;red;9.4;0.615;0.28;3.2;0.087;18;72;1.0001;3.31;0.53;9.7;5
2503;white;6.2;0.45;0.26;4.4;0.063;63;206;0.994;3.27;0.52;9.8;4
2504;white;6.9;0.31;0.32;1.2;0.024;20;166;0.99208;3.05;0.54;9.8;6
2505;white;6.8;0.26;0.32;7;0.041;38;118;0.9939;3.25;0.52;10.8;6
2506;white;6.3;0.37;0.28;6.3;0.034;45;152;0.9921;3.29;0.46;11.6;7
2507;white;6.6;0.23;0.2;11.4;0.044;45;131;0.99604;2.96;0.51;9.7;6
2508;white;7.8;0.16;0.41;1.7;0.026;29;140;0.991;3.02;0.78;12.5;6
2509;white;5.6;0.18;0.3;10.2;0.028;28;131;0.9954;3.49;0.42;10.8;7
2510;white;6.7;0.16;0.49;2.4;0.046;57;187;0.9952;3.62;0.81;10.4;6
2511;white;8.2;0.28;0.42;1.8;0.031;30;93;0.9917;3.09;0.39;11.4;5
2512;white;8.2;0.15;0.48;2.7;0.052;24;190;0.995;3.5;0.45;10.9;7
2513;white;8.3;0.21;0.41;2.2;0.05;24;108;0.994;2.85;0.45;9.5;5
2514;white;7.5;0.27;0.36;7;0.036;45;164;0.9939;3.03;0.33;11;5
2515;white;8.2;0.27;0.43;1.6;0.035;31;128;0.9916;3.1;0.5;12.3;6
2516;white;6.9;0.23;0.4;7.5;0.04;50;151;0.9927;3.11;0.27;11.4;6
2517;white;5.8;0.17;0.36;1.3;0.036;11;70;0.99202;3.43;0.68;10.4;7
2518;white;7;0.32;0.29;4.9;0.036;41;150;0.99168;3.38;0.43;12.2;6
2519;white;6.3;0.2;0.18;10.6;0.045;57;159;0.99666;3.09;0.54;9.2;5
2520;white;6.8;0.27;0.22;17.8;0.034;16;116;0.9989;3.07;0.53;9.2;5
2521;white;5.7;0.26;0.25;10.4;0.02;7;57;0.994;3.39;0.37;10.6;5
2522;white;7;0.36;0.32;10.05;0.045;37;131;0.99352;3.09;0.33;11.7;8
2523;white;7.7;0.16;0.49;2;0.056;20;124;0.9948;3.32;0.49;10.7;6
2524;white;6.1;0.15;0.29;6.2;0.046;39;151;0.99471;3.6;0.44;10.6;6
2525;white;5.8;0.29;0.05;0.8;0.038;11;30;0.9924;3.36;0.35;9.2;5
2526;red;8.5;0.66;0.2;2.1;0.097;23;113;0.99733;3.13;0.48;9.2;5
2527;white;7.3;0.19;0.68;1.5;0.05;31;156;0.9946;3.32;0.64;9.4;6
2528;red;6.2;0.44;0.39;2.5;0.077;6;14;0.99555;3.51;0.69;11;6
2529;white;6.2;0.36;0.45;10.4;0.06;22;184;0.99711;3.31;0.56;9.8;6
2530;white;7.8;0.24;0.32;12.2;0.054;42;138;0.9984;3.01;0.54;8.8;5
2531;white;7.9;0.29;0.31;7.35;0.034;37;154;0.9938;3.06;0.31;10.8;5
2532;white;7.2;0.27;0.74;12.5;0.037;47;156;0.9981;3.04;0.44;8.7;5
2533;white;7.9;0.46;0.4;10.1;0.168;19;184;0.99782;3.06;0.62;9.5;5
2534;red;6.8;0.83;0.09;1.8;0.074;4;25;0.99534;3.38;0.45;9.6;5
2535;white;7.4;0.56;0.09;1.5;0.071;19;117;0.99496;3.22;0.53;9.8;5
2536;white;7.7;0.28;0.29;6.9;0.041;29;163;0.9952;3.44;0.6;10.5;6
2537;white;6;0.19;0.37;9.7;0.032;17;50;0.9932;3.08;0.66;12;6
2538;white;6.2;0.44;0.18;7.7;0.096;28;210;0.99771;3.56;0.72;9.2;5
2539;white;9.2;0.35;0.39;0.9;0.042;15;61;0.9924;2.96;0.28;10.4;4
2540;white;6.9;0.29;0.23;8.6;0.056;56;215;0.9967;3.17;0.44;8.8;5
2541;white;5.8;0.3;0.12;1.6;0.036;57;163;0.99239;3.38;0.59;10.5;6
2542;white;6.5;0.24;0.19;1.2;0.041;30;111;0.99254;2.99;0.46;9.4;6
2543;white;7.4;0.21;0.3;8.1;0.047;13;114;0.9941;3.12;0.35;10.5;6
2544;white;6;0.16;0.36;1.6;0.042;13;61;0.99143;3.22;0.54;10.8;6
2545;white;6.4;0.33;0.24;9.8;0.041;29;109;0.9956;3.29;0.47;10.1;6
2546;white;6.5;0.17;0.31;1.5;0.041;34;121;0.99092;3.06;0.46;10.5;6
2547;white;6.9;0.19;0.33;1.6;0.043;63;149;0.9925;3.44;0.52;10.8;5
2548;white;8.1;0.24;0.33;10.2;0.048;46;141;0.9972;3.16;0.48;10.3;6
2549;white;6.9;0.29;0.16;6.8;0.034;65;212;0.9955;3.08;0.39;9;6
2550;white;6.7;0.46;0.27;5.2;0.039;35;96;0.99129;3.16;0.44;12.4;7
2551;white;6.9;0.36;0.35;8.6;0.038;37;125;0.9916;3;0.32;12.4;8
2552;white;7.1;0.145;0.33;4.6;0.05;33;131;0.9942;3.28;0.4;9.6;6
2553;white;7.2;0.2;0.61;16.2;0.043;14;103;0.9987;3.06;0.36;9.2;6
2554;red;7.6;0.5;0.29;2.3;0.086;5;14;0.99502;3.32;0.62;11.5;6
2555;red;11.5;0.35;0.49;3.3;0.07;10;37;1.0003;3.32;0.91;11;6
2556;white;5.6;0.3;0.1;6.4;0.043;34;142;0.99382;3.14;0.48;9.8;5
2557;red;7.4;0.5;0.47;2;0.086;21;73;0.997;3.36;0.57;9.1;5
2558;white;6.6;0.24;0.3;13;0.052;18;143;0.99825;3.37;0.49;9.4;6
2559;white;5.7;0.16;0.32;1.2;0.036;7;89;0.99111;3.26;0.48;11;5
2560;red;8.1;0.825;0.24;2.1;0.084;5;13;0.9972;3.37;0.77;10.7;6
2561;white;5.6;0.22;0.32;1.2;0.024;29;97;0.98823;3.2;0.46;13.05;7
2562;white;7.8;0.49;0.49;7;0.043;29;149;0.9952;3.21;0.33;10;5
2563;white;7.1;0.26;0.19;8.2;0.051;53;187;0.996;3.16;0.52;9.7;5
2564;white;7.9;0.64;0.46;10.6;0.244;33;227;0.9983;2.87;0.74;9.1;3
2565;white;6.7;0.27;0.33;3.6;0.034;9;45;0.99144;3.08;0.4;10.5;6
2566;white;8.4;0.17;0.31;5.4;0.052;47;150;0.9953;3.24;0.38;9.8;5
2567;white;6.7;0.21;0.49;1.4;0.047;30;114;0.9914;2.92;0.42;10.8;7
2568;white;7;0.16;0.26;7.3;0.047;30;220;0.99622;3.38;0.58;10.1;6
2569;white;6.3;0.17;0.32;4.2;0.04;37;117;0.99182;3.24;0.43;11.3;6
2570;white;6.3;0.33;0.2;17.9;0.066;36;161;0.9991;3.14;0.51;8.8;5
2571;white;8.1;0.29;0.49;7.1;0.042;22;124;0.9944;3.14;0.41;10.8;6
2572;white;5.6;0.26;0;10.2;0.038;13;111;0.99315;3.44;0.46;12.4;6
2573;white;7;0.25;0.45;2.3;0.045;40;118;0.99064;3.16;0.48;11.9;7
2574;white;7.3;0.32;0.34;6.6;0.032;24;112;0.99505;3.22;0.46;9.8;6
2575;white;6.7;0.2;0.37;1.65;0.025;42;103;0.99022;3.11;0.45;11.4;5
2576;white;6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
2577;white;6.4;0.31;0.31;12.9;0.045;55;161;0.99546;3.02;0.59;10.2;5
2578;white;7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6
2579;white;5.5;0.21;0.25;1.2;0.04;18;75;0.99006;3.31;0.56;11.3;6
2580;white;6.9;0.32;0.27;16;0.034;58;185;0.99938;3.34;0.6;9;6
2581;white;6.6;0.26;0.29;1.4;0.039;13;67;0.9915;3.05;0.49;10.9;6
2582;red;7.1;0.875;0.05;5.7;0.082;3;14;0.99808;3.4;0.52;10.2;3
2583;white;6.4;0.22;0.3;11.2;0.046;53;149;0.99479;3.21;0.34;10.8;5
2584;white;8;0.29;0.49;11.7;0.035;40;131;0.9958;3.14;0.34;10.8;5
2585;red;6.9;0.44;0;1.4;0.07;32;38;0.99438;3.32;0.58;11.4;6
2586;white;5.7;0.24;0.47;6.3;0.069;35;182;0.99391;3.11;0.46;9.75;5
2587;white;6.2;0.18;0.49;4.5;0.047;17;90;0.9919;3.27;0.37;11.6;6
2588;white;5.8;0.19;0.24;1.3;0.044;38;128;0.99362;3.77;0.6;10.6;5
2589;white;6.4;0.24;0.27;1.5;0.04;35;105;0.98914;3.13;0.3;12.4;6
2590;white;6;0.26;0.32;3.5;0.028;29;113;0.9912;3.4;0.71;12.3;7
2591;white;8.8;0.36;0.44;1.9;0.04;9;121;0.9953;3.19;0.48;9.9;6
2592;white;6.1;0.6;0;1.3;0.042;24;79;0.9937;3.31;0.38;9.4;4
2593;white;6.9;0.24;0.4;15.4;0.052;81;198;0.9986;3.2;0.69;9.4;5
2594;red;7.8;0.56;0.12;2;0.082;7;28;0.997;3.37;0.5;9.4;6
2595;white;7.5;0.22;0.29;4.8;0.05;33;87;0.994;3.14;0.42;9.9;5
2596;white;5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6
2597;white;5.9;0.655;0;5.6;0.033;8;31;0.9936;3.32;0.51;10.5;4
2598;white;6.7;0.3;0.49;4.8;0.034;36;158;0.9945;3.12;0.45;9.9;6
2599;white;6.1;0.22;0.46;1.8;0.16;34;74;0.9884;3.19;0.33;13.4;6
2600;red;9.7;0.295;0.4;1.5;0.073;14;21;0.99556;3.14;0.51;10.9;6
2601;red;7.1;0.84;0.02;4.4;0.096;5;13;0.997;3.41;0.57;11;4
2602;white;6.3;0.34;0.19;5.8;0.041;22;145;0.9943;3.15;0.63;9.9;5
2603;white;7.7;0.23;0.31;10.7;0.038;59;186;0.9969;3.12;0.55;9.5;6
2604;white;7.5;0.29;0.36;15.7;0.05;29;124;0.9968;3.06;0.54;10.4;5
2605;white;6.1;0.27;0.33;2.2;0.021;26;117;0.9886;3.12;0.3;12.5;6
2606;white;9;0.22;0.49;10.4;0.048;52;195;0.9987;3.31;0.44;10.2;6
2607;white;6.9;0.27;0.25;7.5;0.03;18;117;0.99116;3.09;0.38;13;6
2608;white;8.3;0.17;0.31;1.5;0.049;48;153;0.9942;3.12;0.58;9.4;6
2609;white;6;0.2;0.25;2;0.041;30;95;0.99078;3.27;0.56;11.1;6
2610;white;7.2;0.16;0.26;7.1;0.054;41;224;0.9966;3.38;0.55;10.1;5
2611;white;6.4;0.21;0.21;5.1;0.097;21;105;0.9939;3.07;0.46;9.6;5
2612;red;9.2;0.41;0.5;2.5;0.055;12;25;0.9952;3.34;0.79;13.3;7
2613;white;7.3;0.19;0.49;15.55;0.058;50;134;0.9998;3.42;0.36;9.1;7
2614;white;6.3;0.3;0.29;2.1;0.048;33;142;0.98956;3.22;0.46;12.9;7
2615;red;6.7;0.58;0.08;1.8;0.097;15;65;0.9959;3.28;0.54;9.2;5
2616;red;6.5;0.58;0;2.2;0.096;3;13;0.99557;3.62;0.62;11.5;4
2617;white;7.3;0.14;0.49;1.1;0.038;28;99;0.9928;3.2;0.72;10.6;6
2618;white;6.2;0.31;0.23;3.3;0.052;34;113;0.99429;3.16;0.48;8.4;5
2619;white;8.8;0.34;0.33;9.7;0.036;46;172;0.9966;3.08;0.4;10.2;5
2620;white;5.8;0.3;0.42;1.1;0.036;19;113;0.98871;3.1;0.46;12.6;7
2621;white;5.8;0.33;0.23;5;0.053;29;106;0.99458;3.13;0.52;9;5
2622;white;7.1;0.14;0.35;1.4;0.039;24;128;0.99212;2.97;0.68;10.4;5
2623;white;6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
2624;white;7.4;0.25;0.36;13.2;0.067;53;178;0.9976;3.01;0.48;9;6
2625;red;6.8;0.65;0.02;2.1;0.078;8;15;0.99498;3.35;0.62;10.4;6
2626;white;7;0.16;0.36;2.6;0.029;28;98;0.99126;3.11;0.37;11.2;7
2627;white;7.5;0.26;0.38;5.7;0.021;23;125;0.99338;3.13;0.62;11.1;6
2628;white;7.7;0.34;0.3;8;0.048;25;192;0.9951;2.97;0.47;10.9;5
2629;white;6.4;0.37;0.12;5.9;0.056;6;91;0.99536;3.06;0.46;8.4;4
2630;white;6.6;0.26;0.52;8.2;0.047;52;191;0.99541;3.16;0.47;9.5;6
2631;white;6.8;0.28;0.4;22;0.048;48;167;1.001;2.93;0.5;8.7;5
2632;white;6.5;0.26;0.31;1.3;0.034;59;145;0.98944;3.16;0.54;12.4;6
2633;white;6.5;0.23;0.2;7.5;0.05;44;179;0.99504;3.18;0.48;9.53333333333333;5
2634;white;6.3;0.23;0.22;17.45;0.054;42;151;0.99853;3.12;0.6;9.3;6
2635;white;6.7;0.16;0.36;2;0.045;24;131;0.99284;3.3;0.59;10.5;6
2636;white;6.6;0.22;0.36;5.5;0.029;30;105;0.99206;3.2;0.47;11.8;6
2637;white;6.6;0.78;0.5;1.5;0.045;30;133;0.99104;3.25;0.48;11.7;5
2638;white;5.8;0.385;0.25;3.7;0.031;38;122;0.99128;3.2;0.63;11.2;6
2639;white;7.7;0.34;0.28;11;0.04;31;117;0.99815;3.27;0.29;9.2;6
2640;white;8;0.57;0.39;3.9;0.034;22;122;0.9917;3.29;0.67;12.8;7
2641;white;6.6;0.35;0.35;6;0.063;31;150;0.99537;3.1;0.47;9.4;6
2642;red;7.1;0.59;0.01;2.5;0.077;20;85;0.99746;3.55;0.59;9.8;5
2643;white;6;0.18;0.27;1.5;0.089;40;143;0.9923;3.49;0.62;10.8;6
2644;white;5.2;0.405;0.15;1.45;0.038;10;44;0.99125;3.52;0.4;11.6;4
2645;red;6.1;0.32;0.25;1.8;0.086;5;32;0.99464;3.36;0.44;10.1;5
2646;white;6.9;0.15;0.28;4.4;0.029;14;107;0.99347;3.24;0.46;10.4;8
2647;white;7.7;0.29;0.48;2.3;0.049;36;178;0.9931;3.17;0.64;10.6;6
2648;white;5.8;0.17;0.34;1.8;0.045;96;170;0.99035;3.38;0.9;11.8;8
2649;red;7.1;0.43;0.42;5.5;0.07;29;129;0.9973;3.42;0.72;10.5;5
2650;white;6.2;0.37;0.24;6.1;0.032;19;86;0.98934;3.04;0.26;13.4;8
2651;white;6.4;0.16;0.44;1.2;0.051;39;122;0.99058;3.11;0.75;11.3;7
2652;white;7;0.12;0.19;4.9;0.055;27;127;0.9953;3.29;0.41;9.4;5
2653;red;6.2;0.56;0.09;1.7;0.053;24;32;0.99402;3.54;0.6;11.3;5
2654;white;6.6;0.26;0.27;11.8;0.048;28;112;0.99606;2.87;0.49;9.7;6
2655;red;5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6
2656;white;7.4;0.155;0.34;2.3;0.045;73.5;214;0.9934;3.18;0.61;9.9;7
2657;red;6.7;0.67;0.02;1.9;0.061;26;42;0.99489;3.39;0.82;10.9;6
2658;white;8;0.37;0.31;4.7;0.038;3;127;0.99186;2.9;0.72;12.1;5
2659;white;8.1;0.2;0.49;11.8;0.048;46;212;0.9968;3.09;0.46;10;7
2660;white;6.2;0.23;0.36;17.2;0.039;37;130;0.99946;3.23;0.43;8.8;6
2661;white;7.3;0.26;0.33;11.8;0.057;48;127;0.99693;3.1;0.55;10;6
2662;white;8.3;0.21;0.4;1.6;0.032;35;110;0.9907;3.02;0.6;12.9;7
2663;white;6.5;0.41;0.24;14;0.048;24;113;0.9982;3.44;0.53;9.8;6
2664;white;7.2;0.47;0.16;5.9;0.048;14;125;0.99428;3.09;0.49;9.8;5
2665;red;7.2;0.605;0.02;1.9;0.096;10;31;0.995;3.46;0.53;11.8;6
2666;white;7.2;0.26;0.3;2.1;0.033;50;158;0.9909;3.33;0.43;12.1;7
2667;white;8.2;0.27;0.39;7.8;0.039;49;208;0.9976;3.31;0.51;9.5;6
2668;white;8.6;0.31;0.3;0.9;0.045;16;109;0.99249;2.95;0.39;10.1;5
2669;white;7.4;0.22;0.33;2;0.045;31;101;0.9931;3.42;0.55;11.4;5
2670;white;6.7;0.24;0.32;9;0.023;20;109;0.99262;3.34;0.35;12.6;6
2671;white;6.1;0.55;0.15;9.8;0.031;19;125;0.9957;3.36;0.47;10.2;6
2672;white;6.1;0.28;0.25;12.9;0.054;34;189;0.9979;3.25;0.43;9;4
2673;white;6;0.22;0.28;1.1;0.034;47;90;0.98862;3.22;0.38;12.6;6
2674;red;10;0.56;0.24;2.2;0.079;19;58;0.9991;3.18;0.56;10.1;6
2675;red;5.6;0.66;0;2.2;0.087;3;11;0.99378;3.71;0.63;12.8;7
2676;white;6.6;0.25;0.36;8.1;0.045;54;180;0.9958;3.08;0.42;9.2;5
2677;white;6.9;0.46;0.2;0.9;0.054;5;126;0.992;3.1;0.42;10.4;6
2678;white;6;0.32;0.12;5.9;0.041;34;190;0.9944;3.16;0.72;10;5
2679;red;10.5;0.59;0.49;2.1;0.07;14;47;0.9991;3.3;0.56;9.6;4
2680;white;6.7;0.24;0.41;2.9;0.039;48;122;0.99052;3.25;0.43;12;5
2681;white;5.9;0.21;0.31;1.8;0.033;45;142;0.98984;3.35;0.5;12.7;6
2682;white;5.8;0.35;0.29;3.2;0.034;41;151;0.9912;3.35;0.58;11.6333333333333;7
2683;white;7.8;0.2;0.32;5;0.016;31;101;0.99186;2.99;0.39;11;6
2684;red;8.8;0.59;0.18;2.9;0.089;12;74;0.99738;3.14;0.54;9.4;5
2685;white;6.9;0.25;0.34;1.3;0.035;27;82;0.99045;3.18;0.44;12.2;6
2686;white;7.2;0.22;0.49;1;0.045;34;140;0.99;3.05;0.34;12.7;6
2687;red;12;0.45;0.55;2;0.073;25;49;0.9997;3.1;0.76;10.3;6
2688;red;5.9;0.61;0.08;2.1;0.071;16;24;0.99376;3.56;0.77;11.1;6
2689;white;6;0.67;0.07;1.2;0.06;9;108;0.9931;3.11;0.35;8.7;4
2690;red;7.3;0.55;0.03;1.6;0.072;17;42;0.9956;3.37;0.48;9;4
2691;white;6.1;0.38;0.2;6.6;0.033;25;137;0.9938;3.3;0.69;10.4;6
2692;white;5.8;0.22;0.29;0.9;0.034;34;89;0.98936;3.14;0.36;11.1;7
2693;white;6.5;0.25;0.2;1.4;0.024;29;101;0.9916;3.24;0.54;10.8;6
2694;white;6.6;0.23;0.24;3.9;0.045;36;138;0.9922;3.15;0.64;11.3;7
2695;white;6.7;0.19;0.39;1;0.032;14;71;0.98912;3.31;0.38;13;7
2696;white;6.6;0.3;0.45;8;0.038;54;200;0.9956;3.18;0.48;9.5;5
2697;red;6.1;0.58;0.23;2.5;0.044;16;70;0.99352;3.46;0.65;12.5;6
2698;white;5.7;0.385;0.04;12.6;0.034;22;115;0.9964;3.28;0.63;9.9;6
2699;white;6.7;0.61;0.21;1.65;0.117;40;240;0.9938;3.11;0.57;9.3;5
2700;white;7.1;0.16;0.25;1.3;0.034;28;123;0.9915;3.27;0.55;11.4;6
2701;white;5;0.33;0.16;1.5;0.049;10;97;0.9917;3.48;0.44;10.7;6
2702;white;8.9;0.21;0.37;1.2;0.028;20;93;0.99244;3.2;0.37;11.5;5
2703;white;6.9;0.4;0.3;10.6;0.033;24;87;0.99265;3.15;0.45;12.8;6
2704;white;9;0.3;0.49;7.2;0.039;32;84;0.9938;2.94;0.32;11.5;6
2705;red;8.2;0.26;0.34;2.5;0.073;16;47;0.99594;3.4;0.78;11.3;7
2706;white;7.6;0.32;0.25;9.5;0.03;15;136;0.99367;3.1;0.44;12.1;6
2707;white;7.8;0.3;0.37;1.3;0.051;16;96;0.9941;3.32;0.62;10;5
2708;white;6.7;0.23;0.42;11.2;0.047;52;171;0.99758;3.54;0.74;10.4;5
2709;red;11.2;0.67;0.55;2.3;0.084;6;13;1;3.17;0.71;9.5;6
2710;white;7.6;0.31;0.49;13.4;0.062;50;191;0.9989;3.22;0.53;9;4
2711;white;8.2;0.42;0.29;4.1;0.03;31;100;0.9911;3;0.32;12.8;7
2712;white;6.8;0.25;0.18;1.4;0.056;13;137;0.9935;3.11;0.42;9.5;5
